unique_id,ds,NBEATS,NHITS,MLP,TiDE,KAN,TFT,NLinear,DLinear,PatchTST,DeepNPTS,y,index,SeasonalNaive
T000012,1992-07-31,4837.763,4829.285,4755.424,4932.01,4839.954,4825.843,4780.5024,4838.629,4855.1895,4847.284,4924.1,120,4922.2
T000012,1992-10-31,4944.76,4948.5195,4864.415,4972.6772,4933.6567,4896.0117,4919.9995,4911.0967,4906.0723,4864.5156,4928.1,122,4896.3
T000012,1993-01-31,4906.366,4919.2295,4822.115,4935.575,4883.998,4810.3433,4917.2104,4991.2925,4815.643,4846.585,4848.2,124,4765.8
T000013,1992-07-31,3435.2205,3439.9255,3366.92,3354.5598,3424.438,3418.507,3363.8389,3282.2634,3381.8147,3198.0205,3417.82,130,3106.28
T000013,1992-10-31,3485.3987,3488.9246,3473.9792,3354.7747,3553.074,3497.7178,3426.8635,3403.7754,3470.222,3374.94,3526.52,132,3269.36
T000013,1993-01-31,3478.0623,3516.6753,3419.5515,3465.16,3456.746,3476.5918,3518.3977,3521.5217,3454.5596,3382.274,3554.24,134,3131.22
T000014,1992-07-31,3061.8794,3064.2107,3025.5054,3026.8396,3081.888,3054.6177,3034.3525,3057.592,3055.488,3007.08,3084.7,140,2903.2
T000014,1992-10-31,3118.55,3122.583,3060.745,3093.698,3110.289,3111.3848,3088.328,3096.7656,3109.5674,3046.7593,3414.6,142,2933.94
T000014,1993-01-31,3466.3188,3469.6055,3412.2017,3297.6472,3465.4988,3460.9248,3420.1277,3276.56,3452.274,3279.138,3503.5,144,3018.7
T000015,1992-04-30,4839.403,4842.5645,4761.9434,4993.222,4837.3574,4818.864,4835.263,5004.312,4847.2476,4956.1694,4815.4,150,4917.9
T000015,1992-07-31,4885.0684,4876.1045,4807.7217,5016.293,4890.273,4854.3184,4826.3364,4899.735,4899.3896,4941.119,4785.9,152,5041.1
T000015,1992-10-31,4771.1787,4785.004,4741.841,4936.5664,4812.645,4749.6313,4781.9688,4870.666,4777.5044,4912.7173,4735.8,154,5017.2
T000016,1992-07-31,6059.714,6073.837,5945.524,6172.7744,6019.3906,6067.6406,6075.783,6178.6123,6064.4517,6103.9053,6220.78,160,6068.32
T000016,1992-10-31,6245.7563,6247.3647,6108.9155,6259.8667,6193.628,6188.6094,6216.3726,6243.141,6172.0205,6127.7046,6225.68,162,5996.46
T000016,1993-01-31,6268.7734,6272.15,6196.552,6264.5186,6312.3643,6257.8076,6232.0674,6296.561,6251.2817,6201.3696,6505.64,164,6087.16
T000017,1992-07-31,3743.0562,3756.1938,3692.9924,3926.7073,3727.2737,3721.7893,3814.7617,3731.5046,3761.834,3805.5837,3772.2,170,3763.4
T000017,1992-10-31,3826.5203,3836.5664,3816.9893,3748.5942,3883.618,3739.1892,3770.404,3823.4976,3826.781,3740.0693,3816.8,172,3830.2
T000017,1993-01-31,3605.2334,3623.089,3599.3865,3837.141,3634.1392,3623.6455,3795.8137,3870.7415,3650.323,3704.7358,3317.6,174,3489.4
T000018,1992-07-31,7019.0605,7019.9287,6903.9463,7118.253,7010.6797,6944.5615,7018.5713,7210.984,6957.5103,7023.613,6215.0,180,6931.0
T000018,1992-10-31,6224.087,6217.205,6238.3867,6746.4585,6344.0747,6212.866,6228.8945,6747.851,6391.5957,6880.6216,6743.0,182,7023.0
T000018,1993-01-31,6914.5728,6960.664,6809.1416,7114.398,6885.2236,6862.7954,6758.9414,6601.4688,6937.258,6943.612,5961.0,184,7200.0
T000019,1992-07-31,5868.734,5892.8027,5772.634,5589.704,5825.974,5966.348,5846.324,5816.241,5966.2993,5598.2173,6137.14,190,4811.5
T000019,1992-10-31,6243.033,6265.6543,6278.0815,5966.0337,6413.2134,6336.596,6185.1973,6018.854,6330.4785,5946.5483,5823.78,192,5399.64
T000019,1993-01-31,6009.2173,5989.445,5903.505,5865.6304,6050.5283,5965.249,5847.7896,6037.1484,5926.2466,5846.3145,5719.82,194,5699.6
T000020,1992-07-31,3909.36,3892.5432,3854.3816,4263.6646,3901.9324,3994.1597,3915.6567,4181.444,3974.7678,4264.776,3424.0,200,4246.0
T000020,1992-10-31,3482.4314,3517.7546,3556.2744,3955.988,3647.9575,3431.5215,3451.8914,3737.3025,3607.7332,4083.439,3816.0,202,4618.0
T000020,1993-01-31,3853.7126,3848.595,3698.849,4062.8167,3676.6333,3805.3555,3785.3552,3711.5583,3872.4602,4087.4744,2838.0,204,4248.0
T000021,1992-07-31,4655.4443,4619.318,4560.499,5050.9375,4602.5874,4693.0767,4723.171,4902.192,4735.5767,4936.663,4908.0,210,4675.0
T000021,1992-10-31,5652.5566,5676.8154,5429.397,5075.9844,5461.7515,5544.107,4958.8325,4839.8184,5482.222,4978.5977,5318.5,212,5446.0
T000021,1993-01-31,4972.78,5019.2534,4860.2188,5169.145,4923.456,4910.67,5265.7407,5192.5317,4829.964,4966.1724,4643.5,214,4810.0
T000022,1992-07-31,4787.04,4800.65,4608.494,4568.989,4713.3955,5026.582,4992.385,4245.4253,4997.5903,4036.9211,5072.8,220,3640.0
T000022,1992-10-31,4939.6284,5038.3076,4983.6904,4343.306,4983.7075,4866.0376,5069.31,4973.411,5155.0054,4731.749,4939.8,222,3820.0
T000022,1993-01-31,4603.6675,4539.332,4598.3623,4733.0986,4615.117,4444.2466,4932.0894,5105.6562,4788.4346,4470.4844,4145.2,224,3431.0
T000023,1992-07-31,4583.5137,4560.1445,4487.7637,4812.423,4551.2827,4552.8076,4646.702,4811.0054,4605.95,4685.246,4835.8,230,4460.6
T000023,1992-10-31,5156.6455,5190.0615,5073.558,4942.4766,5171.8403,5140.742,4874.78,4782.8687,4985.095,4784.7764,5097.15,232,5000.3
T000023,1993-01-31,5029.4834,5040.8477,4945.46,5004.642,4998.086,4836.442,5075.6123,5026.4707,4806.87,4844.214,4947.8,234,4768.3
T000024,1992-07-31,5238.6997,5246.1274,5196.6753,5429.442,5269.6455,5248.6787,5171.324,5213.576,5220.7915,5364.018,5207.4,240,5597.6
T000024,1992-10-31,5180.9204,5200.0264,5117.1807,5314.6826,5154.3877,5160.445,5186.7754,5261.0293,5202.532,5333.0664,5145.2,242,5388.1
T000024,1993-01-31,5121.326,5132.243,4972.9043,5237.944,5015.13,5118.1143,5123.9814,5263.689,5140.3115,5196.561,5692.1,244,5100.1
T000025,1992-07-31,3328.7756,3323.7703,3177.337,3364.3303,3205.6775,3288.2292,3020.5776,2985.2314,3325.8833,3037.4592,3265.0,250,2983.0
T000025,1992-10-31,4244.8228,4285.79,4008.6553,3298.0132,4016.3203,3965.0115,3317.5125,3085.4146,4060.9385,3295.52,4414.0,252,3894.0
T000025,1993-01-31,3116.0789,3138.5815,3146.4924,3818.3042,3282.641,3220.6177,4325.5903,3896.4543,3171.1025,3307.9563,3058.0,254,2788.0
T000026,1992-04-30,5895.008,5924.007,5794.508,5828.601,5895.21,5876.5073,5852.3584,5921.0054,5875.771,5745.6685,5862.0,260,5434.0
T000026,1992-07-31,5938.071,5970.0757,5920.917,5934.3867,6050.079,5919.341,5887.127,5920.4326,5862.521,5804.781,6408.0,262,5734.0
T000026,1992-10-31,6479.262,6490.6987,6398.7715,6274.1675,6492.1377,6456.705,6415.3003,6196.5317,6440.8936,6161.768,5002.0,264,5850.0
T000027,1992-04-30,2912.4097,2927.1992,2990.693,3203.8513,3066.1497,2957.002,2840.3115,2937.8372,2967.9634,3261.1313,3320.86,270,3730.05
T000027,1992-07-31,3263.461,3279.5593,3122.5415,3325.1804,3093.3162,3306.652,3283.6782,3125.4463,3249.4167,3311.829,3394.8,272,3316.77
T000027,1992-10-31,3153.4036,3163.2615,3143.695,3185.1816,3170.209,3107.9324,3361.5894,3384.095,3061.2148,3138.1514,3745.26,274,2963.79
T000028,1992-07-31,6130.3345,6175.569,6146.79,5983.8833,6264.058,6119.8604,6128.28,6107.2397,6162.2764,6026.7354,6091.0,280,5755.0
T000028,1992-10-31,6015.3193,6072.801,5932.5293,6068.3906,6014.425,5895.7856,6082.913,6198.497,6011.2925,5918.8613,6054.5,282,5579.0
T000028,1993-01-31,6155.312,6199.0757,6164.836,6165.552,6310.71,6137.083,6089.605,6140.0967,6047.773,6011.2354,6264.5,284,6001.5
T000029,1992-07-31,2760.2903,2752.6248,2690.0396,3251.1404,2689.355,2733.5933,2758.237,2897.5679,2782.1143,3258.3076,5193.5,290,3523.5
T000029,1992-10-31,4643.9497,5036.2793,4599.492,4402.636,4695.3325,5354.559,5179.6997,3953.7354,5279.6733,3661.7043,2233.0,292,3576.0
T000029,1993-01-31,2373.5928,1970.6079,2029.4532,2270.6484,1930.5604,2072.0676,2165.3347,3723.705,2170.7795,3309.8435,2127.0,294,2823.5
T000030,1992-07-31,4481.1104,4533.208,4608.6523,4861.521,4720.1475,4622.4155,4986.1045,4637.646,4700.2173,4281.1997,5759.1,300,3976.8
T000030,1992-10-31,5800.594,5887.347,5917.962,5126.6084,5955.0693,6196.8267,5793.8013,5323.605,5896.7124,5433.2803,6729.8,302,4643.4
T000030,1993-01-31,6239.912,6133.092,5950.38,5831.787,5965.0522,7055.893,6691.767,6280.99,6721.3096,5962.782,5068.9,304,4097.5
T000031,1992-07-31,6881.767,7002.495,6971.129,6523.6836,7081.9385,6886.288,7050.584,6856.177,7030.3687,6686.429,7269.4,310,6170.1
T000031,1992-10-31,6688.5557,6655.7534,6748.895,6867.6016,6793.6494,6823.134,7231.7437,7275.5396,6945.8706,6629.9863,6513.1,312,5519.8
T000031,1993-01-31,6975.34,7020.061,7027.461,6741.3887,7217.6826,7007.1323,6607.5586,6940.142,6840.465,6691.9473,7190.3,314,6648.4
T000032,1992-07-31,6186.7173,6200.932,6179.4873,6607.0674,6267.6084,6044.2476,6447.8315,6376.906,6234.982,6175.89,6066.0,320,5920.0
T000032,1992-10-31,6947.674,6900.608,6573.4097,6232.749,6648.6025,6886.264,6115.8184,6280.132,6728.0444,6261.4624,6422.0,322,6716.0
T000032,1993-01-31,6045.6704,6055.357,6009.458,6526.1353,6035.6777,6127.004,6376.4473,6388.3896,6215.9707,6302.4395,5782.0,324,6020.0
T000033,1992-07-31,4519.5854,4522.203,4355.119,4149.5156,4317.3896,4146.1616,3646.4072,4155.611,4514.268,4228.874,4746.8,330,4457.5
T000033,1992-10-31,5177.4414,5199.5093,5109.248,4962.457,5131.8604,5038.482,4786.523,4217.747,5202.0903,4603.257,5402.2,332,4973.6
T000033,1993-01-31,5032.3726,5057.5923,5040.787,4782.7515,5031.6743,4957.8823,5349.55,5049.7095,4915.3154,4711.056,5107.7,334,4634.4
T000034,1992-07-31,5104.9414,5102.799,5029.5234,5190.87,5118.1113,5112.733,5076.2935,5133.962,5114.6626,5094.6807,4984.0,340,5140.4
T000034,1992-10-31,4961.698,4974.7334,4909.686,5116.4307,4986.8115,4960.808,4980.733,5102.114,4982.014,5069.285,4832.05,342,5100.9
T000034,1993-01-31,4793.9634,4814.0576,4759.448,5035.3555,4830.1265,4794.3984,4830.1636,4990.9717,4828.4604,4985.8066,4820.3,344,5054.3
T000035,1992-07-31,7808.522,7868.218,7834.8633,7698.9375,8014.3193,7815.813,7748.6606,7739.4097,7790.299,7620.402,8257.0,350,7341.0
T000035,1992-10-31,8412.14,8406.745,8247.287,8087.91,8374.533,8385.105,8268.108,8066.2954,8365.064,8045.424,7765.5,352,7487.5
T000035,1993-01-31,7939.3887,7913.6333,7769.2324,7803.321,7938.652,7869.409,7774.961,8093.552,7843.292,7801.0986,7706.0,354,7622.5
T000036,1992-07-31,5319.3174,5341.198,5309.3154,5629.942,5391.3203,5316.884,5349.0195,5507.356,5351.718,5577.0483,4986.42,360,5745.22
T000036,1992-10-31,4884.764,4898.572,4933.6045,5357.422,5032.9795,4908.4004,4981.544,5261.7173,4970.229,5408.7173,5140.29,362,5687.71
T000036,1993-01-31,5158.468,5148.956,5030.5234,5400.0527,5070.409,5138.286,5124.999,5165.8804,5166.58,5363.515,5103.79,364,5482.35
T000037,1992-07-31,4688.188,4805.859,4703.864,4504.9995,4803.5195,4725.154,4451.421,4328.0146,4461.5986,4309.0347,4829.9,370,4512.5
T000037,1992-10-31,4773.91,4775.1445,4704.058,4657.09,4773.642,4758.5186,4814.407,4657.519,4659.793,4502.444,4752.56,372,4381.64
T000037,1993-01-31,4646.2515,4688.342,4615.644,4599.83,4679.6284,4500.82,4738.2065,4841.5977,4662.287,4560.837,4785.62,374,4192.42
T000038,1992-07-31,4122.4375,4142.2417,4102.162,4031.1824,4191.6055,4114.4956,4058.7354,3996.5398,4081.796,3940.7314,4329.0,380,3804.7
T000038,1992-10-31,4414.367,4411.537,4340.032,4194.9414,4414.128,4419.992,4334.617,4215.5444,4374.1187,4213.0225,4335.4,382,3907.65
T000038,1993-01-31,4348.5127,4380.162,4281.412,4219.496,4346.4766,4347.448,4333.2876,4374.7188,4345.403,4212.18,4434.79,384,3875.35
T000039,1992-07-31,6200.641,6207.103,6078.1294,6057.522,6188.086,6171.037,6089.956,6036.3364,6134.923,5896.083,6135.39,390,5609.6
T000039,1992-10-31,6258.9175,6252.9487,6228.172,6108.9062,6370.8604,6236.155,6157.5723,6153.1123,6190.536,6094.746,5949.96,392,5930.32
T000039,1993-01-31,5956.3276,5955.0337,5838.4053,6063.928,5929.3853,5840.6147,5947.667,6134.222,5897.9556,5962.4014,6777.81,394,5855.98
T000040,1992-07-31,4575.5903,4569.239,4494.291,4632.259,4568.0386,4577.6255,4514.3794,4522.091,4572.4224,4547.2085,4431.0,400,4654.25
T000040,1992-10-31,4390.136,4409.131,4335.789,4516.4736,4387.376,4398.689,4417.9785,4536.2915,4428.9976,4517.2485,5536.25,402,4506.5
T000040,1993-01-31,5356.0137,5325.832,5224.912,5176.313,5326.4727,5449.862,5527.523,5030.277,5494.07,4908.2837,5587.75,404,4409.25
T000041,1992-07-31,2303.6746,2310.372,2203.7803,2382.6648,2173.111,2301.7424,2284.2961,2338.5244,2326.527,2391.4878,2266.85,410,2340.6
T000041,1992-10-31,2274.0913,2273.357,2250.437,2321.151,2289.0151,2258.391,2266.307,2316.1963,2275.7646,2312.2446,2091.65,412,2346.9
T000041,1993-01-31,2046.4661,2056.387,2052.543,2224.0022,2069.4456,2065.1143,2087.1445,2223.0347,2086.5107,2238.268,2126.25,414,2266.15
T000042,1992-07-31,5130.444,5163.6035,5080.552,4971.3096,5166.0522,5129.9043,5019.3394,4737.738,5065.2695,4606.4927,4978.8,420,4602.7
T000042,1992-10-31,4977.061,5018.016,5030.382,4807.4336,5140.8574,4890.372,4979.3945,5001.0537,5067.3164,4871.1714,4489.5,422,4731.5
T000042,1993-01-31,4387.8413,4341.1187,4282.203,4678.6665,4350.565,4358.217,4472.941,4839.9277,4356.598,4683.2637,4740.4,424,4378.9
T000043,1992-07-31,4668.3706,4673.181,4562.6406,4734.308,4619.031,4620.137,4670.344,4726.252,4611.6357,4633.3833,4710.3,430,4585.42
T000043,1992-10-31,4731.9,4735.717,4666.5723,4753.908,4746.9785,4732.5083,4712.741,4755.362,4730.1763,4694.224,4772.16,432,4616.18
T000043,1993-01-31,4799.0107,4802.9443,4720.1445,4806.57,4797.0537,4800.71,4773.943,4803.3325,4797.362,4744.004,4767.76,434,4632.0
T000044,1992-07-31,4229.705,4220.6177,4135.844,4298.681,4203.242,4209.8066,4159.971,4168.03,4219.4043,4214.514,4067.08,440,4291.78
T000044,1992-10-31,4056.2214,4052.7437,4024.5208,4166.616,4084.1978,4022.2632,4060.4062,4165.172,4065.5627,4180.356,4213.48,442,4242.02
T000044,1993-01-31,4164.9746,4172.843,4066.9226,4259.6914,4111.893,4080.6592,4200.958,4210.802,4105.6035,4127.038,4223.7,444,4055.66
T000045,1992-07-31,6288.516,6331.879,6219.1006,6237.872,6330.365,6309.5405,6273.186,6339.1006,6295.7705,6101.0625,6684.8,450,5692.4
T000045,1992-10-31,6829.512,6858.183,6843.999,6599.934,7001.334,6835.24,6725.033,6519.7383,6789.1797,6468.884,6823.2,452,6218.4
T000045,1993-01-31,6871.9453,6904.1597,6797.1807,6650.8696,6914.171,6848.598,6823.028,6811.1504,6847.6816,6696.6187,6537.8,454,6261.8
T000046,1992-07-31,8455.671,8408.024,8069.2876,6878.9956,8127.6777,8087.3447,6804.5605,6201.014,7781.3325,6547.7637,8639.85,460,7585.4
T000046,1992-10-31,6971.588,7001.2793,7001.6523,7571.303,7175.425,7158.92,8517.374,7701.9365,6903.9336,6932.1323,6841.35,462,6252.2
T000046,1993-01-31,6466.903,6524.987,6568.5186,6501.5596,6639.5938,5945.4346,6808.944,7794.3613,6364.341,6782.7466,6040.7,464,5785.65
T000047,1992-07-31,6707.1235,6709.729,6577.7754,6569.4194,6688.7344,6670.4863,6604.1387,6548.791,6673.309,6466.1904,6824.0,470,6171.0
T000047,1992-10-31,6954.888,6950.138,6859.4688,6712.2676,6985.418,6950.608,6836.283,6766.7417,6908.8877,6735.427,7004.5,472,6361.0
T000047,1993-01-31,7119.76,7128.7466,6937.0557,6876.5776,7038.1104,7126.102,7005.1562,6990.933,7082.885,6854.622,6998.0,474,6352.0
T000048,1992-07-31,6082.702,6075.7505,6130.9966,6375.1196,6194.55,5972.4355,6121.8774,6320.3877,6120.44,6529.772,6154.5,480,6780.5
T000048,1992-10-31,6119.959,6143.5425,5894.0513,6347.029,5860.34,6105.396,6110.297,6282.771,6193.673,6326.2324,5202.0,482,6154.5
T000048,1993-01-31,5335.795,5282.0186,5298.4355,5746.8276,5401.873,5400.59,5216.0728,5777.1514,5438.732,5992.064,5977.0,484,6328.5
T000049,1992-07-31,3144.441,3097.5269,3206.7246,3367.9084,3279.3877,3020.6677,3066.0273,3240.5952,3146.923,3589.372,3682.0,490,4095.0
T000049,1992-10-31,3299.559,3321.0608,3192.891,3644.3008,3113.988,3445.6436,3620.4417,3464.8594,3401.243,3501.1755,2701.0,492,3277.0
T000049,1993-01-31,2942.6787,2965.8535,2877.1548,2899.9976,2859.0999,2887.8696,2701.561,3216.7197,2956.2776,3310.516,3026.0,494,3355.0
T000050,1992-07-31,3438.8215,3439.0337,3323.0168,3397.291,3390.0034,3417.1985,3248.4817,3485.5552,3451.4263,3415.4797,3554.64,500,3405.42
T000050,1992-10-31,3731.4927,3731.1458,3597.8274,3692.092,3643.7463,3622.4133,3572.0383,3449.9136,3693.8855,3519.4949,3664.46,502,3587.46
T000050,1993-01-31,3703.2866,3725.567,3712.139,3588.5137,3770.6233,3628.1128,3660.6428,3627.3264,3700.4646,3531.1365,3629.76,504,3648.86
T000051,1992-07-31,5269.7134,5307.5596,5271.737,5151.7173,5341.3623,5237.8413,5320.3687,5217.128,5194.4014,5060.0146,5470.0,510,4986.0
T000051,1992-10-31,5209.6094,5272.2095,5213.552,5267.2524,5269.1445,5165.617,5445.1597,5474.451,5264.0776,5138.3433,3982.0,512,4622.0
T000051,1993-01-31,4543.483,4644.103,4366.6084,4565.411,4363.745,4511.153,4021.7432,4810.598,4542.47,4984.5923,5726.0,514,5026.0
T000052,1992-07-31,4566.442,4563.0356,4494.272,4653.9595,4562.6865,4540.7363,4547.26,4573.536,4566.8135,4585.339,4520.5,520,4644.5
T000052,1992-10-31,4492.345,4503.9746,4420.5454,4586.1895,4479.21,4500.883,4509.9805,4600.317,4510.2896,4544.167,4138.0,522,4521.5
T000052,1993-01-31,4088.6445,4105.984,4093.1404,4384.8467,4143.6045,4117.1553,4136.739,4408.017,4161.049,4444.4077,4117.5,524,4467.0
T000053,1992-07-31,3172.8323,3151.8699,3139.6038,2810.7434,3165.936,3234.7961,3127.1318,3080.8618,3199.555,2979.0376,3269.24,530,2429.23
T000053,1992-10-31,3287.8315,3276.5894,3198.794,3118.931,3208.7964,3351.3582,3281.8965,3228.132,3313.0383,3048.8953,3171.91,532,2490.84
T000053,1993-01-31,3263.3125,3258.519,3390.4463,3164.1692,3503.7905,3293.651,3217.047,3226.5752,3171.409,3138.3262,3419.94,534,3076.04
T000054,1992-07-31,6429.078,6492.3716,6387.2236,6300.3647,6503.0166,6445.8633,6321.971,6139.4175,6370.6675,6063.7974,6389.6,540,6105.6
T000054,1992-10-31,6308.232,6361.5454,6286.673,6250.564,6382.7373,6227.5884,6373.9727,6405.38,6260.22,6209.505,5624.9,542,5966.4
T000054,1993-01-31,5649.785,5654.306,5547.534,5929.406,5643.49,5510.8564,5624.9844,6118.109,5627.2183,6036.2026,6637.7,544,5859.3
T000055,1992-07-31,2924.575,2899.991,2906.4807,2648.9521,2996.8423,2837.3408,2796.2153,2816.2756,2965.8525,2734.2766,2664.0,550,2666.0
T000055,1992-10-31,2488.8586,2455.7854,2478.1245,2718.632,2519.578,2526.695,2649.3154,2791.382,2546.1213,2628.0195,1979.0,552,2365.0
T000055,1993-01-31,2490.6997,2500.697,2325.9316,2389.593,2328.7512,2305.8394,2020.2007,2357.1365,2448.774,2591.1123,2053.0,554,2870.0
T000056,1992-07-31,2903.9287,2917.3853,3126.1375,3410.848,3190.2168,3035.968,3568.742,3741.2803,3179.4456,3255.0505,2623.5,560,2690.5
T000056,1992-10-31,3356.7476,3342.1782,3183.0767,3082.9905,3139.6592,3075.4192,2685.5806,3168.1191,3327.4873,3241.5637,3593.0,562,3370.5
T000056,1993-01-31,3913.8228,3916.1538,3822.1028,3793.771,3861.6675,3700.947,3623.815,3172.918,3898.7422,3496.7842,3646.5,564,3730.0
T000057,1992-07-31,3849.865,3873.3088,3707.021,4343.239,3551.3887,3602.5112,3708.7708,3889.363,3790.83,4334.2227,5445.0,570,4039.0
T000057,1992-10-31,5842.4033,6000.3726,5923.3438,4980.545,5988.033,6013.0493,5491.66,4542.812,6118.7817,4547.973,5306.0,572,4971.0
T000057,1993-01-31,4064.102,3921.912,4176.889,4539.3027,4098.0625,3997.73,5191.8276,5405.9243,4222.397,4512.047,5705.0,574,3627.0
T000058,1992-07-31,6157.3774,6152.333,6039.131,6108.46,6106.659,6043.3755,6165.9873,6083.155,5996.728,5925.0796,5508.2,580,5751.8
T000058,1992-10-31,5655.9316,5656.8506,5505.9116,5701.5117,5604.456,5590.392,5510.4688,5921.536,5615.106,5827.7607,5960.8,582,5773.2
